SN,Source,WHO_REGION,Region,Country,ISO3,ISO2,ADMIN1,ADMIN1ID,ADMIN2,ADMIN2ID,IU_NAME,IU_ID,Location,SiteID,Longitude,Latitude,Georeliability,Location_type,Survey_type,Year,Age_start,Age_end,HK_examined,HK_positive,HK_prevalence,Asc_examined,Asc_positive,Asc_prevalence,TT_examined,TT_positive,TT_prevalence
24466,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Nyain Public School,,-9.79885,7.08507,3,,Mapping,2012,10,14,30,26,0.866666667,30,11,0.366666667,30,9,0.3
24467,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Zorzor,39208,Bong,26819,Nyaita Community,,-9.54016,7.95003,4,,Mapping,2012,10,14,30,17,0.566666667,30,13,0.433333333,30,12,0.4
24468,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Nyakoi Bee Elem. Jr. High,,-9.28586,7.00357,3,,Mapping,2012,10,14,30,14,0.466666667,30,9,0.3,30,9,0.3
24469,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Nyan Tarkulah Public School,,-9.1994896,6.92278,3,,Mapping,2012,10,14,27,9,0.333333333,27,4,0.148148148,27,4,0.148148148
24470,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Todee,39218,Bong,26819,Nyean Lutheran School,,-10.36281,6.800417,3,,Mapping,2012,10,14,30,4,0.133333333,30,1,0.033333333,30,2,0.066666667
24471,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Nyofarkollie Elem. Jr. & Sr. High School,,-9.18605,6.81643,3,,Mapping,2012,10,14,30,12,0.4,30,10,0.333333333,30,4,0.133333333
24475,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Pengia Public School,,-9.66387,6.85381,3,,Mapping,2012,10,14,30,20,0.666666667,30,10,0.333333333,30,10,0.333333333
24476,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Pentecostal  Public  School,,-10.36088888,6.81508333,3,,Mapping,2012,11,14,30,7,0.233333333,30,6,0.2,30,3,0.1
24477,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Fuamah,39174,Bong,26819,Popota Community School,,-10.3033333,6.8793333,3,,Mapping,2012,11,14,30,4,0.133333333,30,5,0.166666667,30,0,0
24478,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Quayar Kulah Public School,,-9.48394,6.70119,3,,Mapping,2012,10,14,30,11,0.366666667,30,6,0.2,29,6,0.206896552
24479,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Panta-Kpa,39177,Bong,26819,Quayee Public,,-9.2874002,6.99997,3,,Mapping,2012,10,14,30,7,0.233333333,30,7,0.233333333,30,3,0.1
24480,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Quelimin Toto Public School,,-9.954,6.782778,3,,Mapping,2012,10,14,30,1,0.033333333,30,2,0.066666667,30,1,0.033333333
24481,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Jorquelleh,39175,Bong,26819,Roots Community,,-9.48885,7.01128,3,,Mapping,2012,10,14,30,6,0.2,30,0,0,30,0,0
24482,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Safe Home Christian School,,-10.03536,6.763194,3,,Mapping,2012,10,14,29,2,0.068965517,30,4,0.133333333,30,0,0
24483,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Suakoko,39180,Bong,26819,Salvation Community School,,-9.56673,7.01396,3,,Mapping,2012,10,14,30,13,0.433333333,30,5,0.166666667,30,10,0.333333333
24484,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Saclepea-Mah,39220,Bong,26819,Samuel B. Cooper Elem & Jr High School,,-9.16968,7.06386,3,,Mapping,2012,10,14,29,9,0.310344828,29,5,0.172413793,29,5,0.172413793
24485,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Sandary Elementary School,,-9.94525,6.807917,3,,Mapping,2012,10,14,30,1,0.033333333,29,3,0.103448276,30,1,0.033333333
24486,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Sanayea,39179,Bong,26819,Sanoyea Public School,,-9.983442,6.978884,1,,Mapping,2012,10,14,30,17,0.566666667,30,10,0.333333333,30,7,0.233333333
24487,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Santa Public School,,-9.962417,6.921055,3,,Mapping,2012,10,14,30,1,0.033333333,30,2,0.066666667,30,0,0
24488,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,District #3,39189,Bong,26819,Sayewhen Town Public School,,-9.62652,6.35708,4,,Mapping,2012,10,14,30,12,0.4,30,5,0.166666667,30,10,0.333333333
24489,SCI,AFRO,Western Africa,Liberia,LBR,LR,Bong,2747,Salala,39178,Bong,26819,Saysayla Public School,,-10.108333,6.7458329,3,,Mapping,2012,10,14,30,2,0.066666667,30,4,0.133333333,30,1,0.033333333
